1.11913 3.43824
1.25012 3.27521
1.39393 3.11936
1.52819 3.10191
1.63551 3.22259
1.74174 3.31327
1.84044 3.41153
1.93405 3.50817
2.02906 3.58229
2.12389 3.6445
2.21764 3.70026
2.31008 3.75183
2.40242 3.79686
2.496 3.83315
2.58851 3.86777
2.67971 3.90162
2.77091 3.93198
2.86211 3.95937
2.95331 3.9842
3.04451 4.00682
3.13583 4.02728
3.22703 4.04628
3.31823 4.06378
3.40943 4.07996
3.50063 4.09496
3.59183 4.1089
3.68303 4.1219
3.77423 4.13404
3.86543 4.14541
3.95663 4.15608
4.04783 4.16611
4.13903 4.17555
4.23023 4.18447
4.32143 4.19289
4.41263 4.20086
4.50383 4.20842
4.59503 4.21559
4.68736 4.22113
4.7809 4.22503
4.8721 4.2313
4.96447 4.23602
5.05567 4.24176
5.14687 4.24725
5.23807 4.2525
5.32927 4.25753
5.42047 4.26235
5.51167 4.26698
5.60287 4.27142
5.69407 4.27569
5.78527 4.2798
5.87647 4.28375
5.96767 4.28756
6.05887 4.29123
6.15007 4.29478
6.24127 4.29819
6.33247 4.3015
6.42367 4.30469
6.51487 4.30777
6.60607 4.31076
6.69727 4.31364
6.78847 4.31644
6.87967 4.31915
6.97087 4.32178
7.06207 4.32433
7.15327 4.32681
7.24447 4.32921
7.33567 4.33154
7.42687 4.33381
7.51807 4.33601
7.60927 4.33815
7.70047 4.34023
7.79167 4.34226
7.88287 4.34424
7.97407 4.34616
8.06527 4.34803
8.15647 4.34985
8.24767 4.35163
8.33887 4.35337
8.43007 4.35506
8.52127 4.35671
8.61247 4.35832
8.70367 4.3599
8.79487 4.36143
8.88607 4.36293
8.97727 4.3644
9.06847 4.36584
9.15967 4.36724
9.25087 4.36861
9.34207 4.36995
9.43327 4.37126
9.52447 4.37254
9.61567 4.3738
9.70687 4.37503
9.79807 4.37623
9.88927 4.37741
9.98047 4.37857
10.0717 4.3797
10.1629 4.38081
10.2541 4.3819
10.3453 4.38297
10.4365 4.38401
10.5277 4.38504
10.6189 4.38605
10.7101 4.38704
10.8013 4.388
10.8925 4.38896
10.9837 4.38989
11.0749 4.39081
13.2998 4.592489680750208
